state,date,deaths,cases,Case_Fatality_Ratio
Connecticut,2021-11-28,430,22908,1.89
Connecticut,2021-12-05,435,23245,1.71
Connecticut,2021-12-12,439,23705,0.88
Connecticut,2021-12-19,441,23990,0.88
Connecticut,2021-12-26,445,24300,1.44
Delaware,2020-03-01,1,44,4.3
Delaware,2020-03-08,4,114,4.43
Delaware,2020-03-15,6,211,2.6
Delaware,2020-03-22,9,286,3.96
Delaware,2020-03-29,11,367,3.81
Delaware,2020-04-05,15,469,3.43
Delaware,2020-04-12,17,573,3.2
Delaware,2020-04-19,18,645,2.95
Delaware,2020-04-26,21,745,3.62
Delaware,2020-05-03,23,799,4.22
Delaware,2020-05-10,24,840,3.92
Delaware,2020-05-17,25,871,3.42
Delaware,2020-05-24,26,893,4.39
Delaware,2020-05-31,26,910,3.42
Delaware,2020-06-07,26,942,2.32
Delaware,2020-06-14,26,971,2.71
Delaware,2020-06-21,26,992,2.68
Delaware,2020-06-28,26,1017,1.75
Delaware,2020-07-05,26,1051,2.28
Delaware,2020-07-12,27,1087,2.82
Delaware,2020-07-19,27,1112,2.18
Delaware,2020-07-26,27,1146,1.54
Delaware,2020-08-02,27,1175,2.86
Delaware,2020-08-09,27,1204,1.66
Delaware,2020-08-16,27,1239,2.07
Delaware,2020-08-23,27,1276,1.81
Delaware,2020-08-30,27,1301,2.69
Delaware,2020-09-06,27,1333,2.7
Delaware,2020-09-13,27,1370,2.3
Delaware,2020-09-20,27,1403,2.69
Delaware,2020-09-27,27,1439,2.86
Delaware,2020-10-04,28,1561,1.71
Delaware,2020-10-11,30,1645,2.84
Delaware,2020-10-18,32,1735,2.16
Delaware,2020-10-25,34,1827,2.82
Delaware,2020-11-01,37,1958,2.95
Delaware,2020-11-08,41,2136,2.5
Delaware,2020-11-15,44,2250,2.82
Delaware,2020-11-22,45,2367,1.52
Delaware,2020-11-29,49,2517,2.58
Delaware,2020-12-06,51,2627,2.6
Delaware,2020-12-13,55,2803,2.73
Delaware,2020-12-20,58,2962,1.97
Delaware,2020-12-27,61,3123,2.19
Delaware,2021-01-03,63,3250,1.79
Delaware,2021-01-10,64,3346,1.65
Delaware,2021-01-17,64,3429,1.09
Delaware,2021-01-24,65,3520,1.34
Delaware,2021-01-31,66,3618,1.55
Delaware,2021-02-07,67,3715,1.37
Delaware,2021-02-14,67,3792,0.95
Delaware,2021-02-21,67,3849,1.62
Delaware,2021-02-28,67,3895,1.83
Delaware,2021-03-07,67,3942,1.14
Delaware,2021-03-14,67,3986,1.42
Delaware,2021-03-21,67,4018,0.84
Delaware,2021-03-28,67,4061,1.93
Delaware,2021-04-04,67,4106,1.75
Delaware,2021-04-11,67,4139,1.89
Delaware,2021-04-18,67,4180,0.93
Delaware,2021-04-25,67,4218,1.84
Delaware,2021-05-02,67,4254,1.97
Delaware,2021-05-09,67,4291,0.85
Delaware,2021-05-16,67,4340,1.14
Delaware,2021-05-23,67,4374,1.89
Delaware,2021-05-30,67,4420,0.82
Delaware,2021-06-06,67,4494,1.17
Delaware,2021-06-13,67,4547,1.85
Delaware,2021-06-20,67,4612,1.45
Delaware,2021-06-27,67,4658,0.81
Delaware,2021-07-04,67,4704,1.52
Delaware,2021-07-11,67,4749,1.69
Delaware,2021-07-18,68,4811,1.82
Delaware,2021-07-25,68,4863,1.87
Delaware,2021-08-01,68,4900,1.09
Delaware,2021-08-08,68,4936,1.5
Delaware,2021-08-15,68,4998,1.43
Delaware,2021-08-22,68,5062,1.52
Delaware,2021-08-29,68,5104,1.89
Delaware,2021-09-05,69,5175,1.85
Delaware,2021-09-12,69,5238,1.32
Delaware,2021-09-19,70,5302,1.73
Delaware,2021-09-26,71,5390,1.33
Delaware,2021-10-03,72,5471,1.51
Delaware,2021-10-10,72,5538,1.41
Delaware,2021-10-17,73,5616,1.39
Delaware,2021-10-24,74,5728,1.52
Delaware,2021-10-31,75,5821,1.56
Delaware,2021-11-07,76,5903,1.23
Delaware,2021-11-14,76,5975,0.97
Delaware,2021-11-21,77,6107,1.2
Delaware,2021-11-28,78,6193,1.53
Delaware,2021-12-05,79,6281,1.42
Delaware,2021-12-12,79,6357,1.06
Delaware,2021-12-19,80,6440,1.21
Delaware,2021-12-26,81,6553,1.42
Florida,2020-03-01,37,1355,3.29
Florida,2020-03-08,75,2848,2.73
Florida,2020-03-15,146,4540,4.25
Florida,2020-03-22,228,6693,4.49
Florida,2020-03-29,285,8492,3.29
Florida,2020-04-05,380,10528,4.32
Florida,2020-04-12,459,12791,3.12
Florida,2020-04-19,543,15345,4.14
Florida,2020-04-26,588,17296,2.6
Florida,2020-05-03,633,18426,3.71
Florida,2020-05-10,663,19370,3.27
Florida,2020-05-17,685,20205,2.74
Florida,2020-05-24,700,20895,2.64
Florida,2020-05-31,714,21201,4.38
Florida,2020-06-07,729,21916,2.04
Florida,2020-06-14,742,22372,2.45
Florida,2020-06-21,763,23061,2.81
Florida,2020-06-28,774,23560,2.85
Florida,2020-07-05,783,24219,1.71
Florida,2020-07-12,794,24834,1.94
Florida,2020-07-19,802,25510,1.57
Florida,2020-07-26,816,26178,2.01
Florida,2020-08-02,837,26883,2.77
Florida,2020-08-09,851,27501,2.51
Florida,2020-08-16,865,28072,2.68
Florida,2020-08-23,888,28833,2.73
Florida,2020-08-30,904,29640,2.15
Florida,2020-09-06,918,30318,2.06
Florida,2020-09-13,935,31043,2.53
Florida,2020-09-20,944,31559,2.15
Florida,2020-09-27,957,32356,2.02
Florida,2020-10-04,995,33832,2.47
Florida,2020-10-11,1026,35893,1.61
Florida,2020-10-18,1083,38100,2.52
Florida,2020-10-25,1136,40567,1.83
Florida,2020-11-01,1196,43349,2.53
Florida,2020-11-08,1242,46331,1.54
Florida,2020-11-15,1309,50321,2.08
Florida,2020-11-22,1350,52617,2.08
Florida,2020-11-29,1409,54922,2.63
Florida,2020-12-06,1476,57734,2.85
Florida,2020-12-13,1567,61767,1.97
Florida,2020-12-20,1673,65031,2.74
Florida,2020-12-27,1745,67601,2.94
Florida,2021-01-03,1776,70193,1.21
Florida,2021-01-10,1806,72251,1.46
Florida,2021-01-17,1854,75021,1.8
Florida,2021-01-24,1872,76942,1.11
Florida,2021-01-31,1887,78386,1.21
Florida,2021-02-07,1918,80637,1.47
Florida,2021-02-14,1933,82280,0.97
Florida,2021-02-21,1953,83786,1.39
Florida,2021-02-28,1984,85422,1.86
Florida,2021-03-07,1996,86319,1.54
Florida,2021-03-14,2002,87126,0.85
Florida,2021-03-21,2013,88009,1.07
Florida,2021-03-28,2031,89082,1.67
Florida,2021-04-04,2042,90134,0.96
Florida,2021-04-11,2052,90801,1.75
Florida,2021-04-18,2069,91857,1.93
Florida,2021-04-25,2085,92699,1.98
Florida,2021-05-02,2100,93748,1.51
Florida,2021-05-09,2108,94498,1.04
Florida,2021-05-16,2119,95300,1.41
Florida,2021-05-23,2138,96201,1.84
Florida,2021-05-30,2154,97014,1.79
Florida,2021-06-06,2179,98504,1.95
Florida,2021-06-13,2197,99533,1.82
Florida,2021-06-20,2220,101068,1.87
Florida,2021-06-27,2239,102552,1.34
Florida,2021-07-04,2258,103794,1.91
Florida,2021-07-11,2277,104893,1.63
Florida,2021-07-18,2287,106108,0.96
Florida,2021-07-25,2302,107094,1.77
Florida,2021-08-01,2315,107986,1.95
Florida,2021-08-08,2340,109411,1.61
Florida,2021-08-15,2348,110400,0.82
Florida,2021-08-22,2368,111809,1.69
Florida,2021-08-29,2393,113226,1.72
Florida,2021-09-05,2421,114732,1.82
Florida,2021-09-12,2432,115768,1.39
Florida,2021-09-19,2446,117148,1.29
Florida,2021-09-26,2460,118560,0.93
Florida,2021-10-03,2481,120650,0.89
Florida,2021-10-10,2498,122418,1.16
Florida,2021-10-17,2532,124259,1.75
Florida,2021-10-24,2544,125671,0.89
Florida,2021-10-31,2561,127445,1.08
Florida,2021-11-07,2606,129934,1.92
Florida,2021-11-14,2637,132644,1.19
Florida,2021-11-21,2672,134517,1.57
Florida,2021-11-28,2703,136953,1.23
Florida,2021-12-05,2736,138758,1.87
Florida,2021-12-12,2772,141044,1.5
Florida,2021-12-19,2797,142804,1.62
Florida,2021-12-26,2850,145472,1.79
Georgia,2020-03-01,16,552,3.54
Georgia,2020-03-08,40,1360,3.04
Georgia,2020-03-15,61,2089,2.77
Georgia,2020-03-22,86,2788,4.0
Georgia,2020-03-29,106,3512,3.52
Georgia,2020-04-05,135,4438,3.91
Georgia,2020-04-12,163,5710,2.51
Georgia,2020-04-19,193,6852,3.13
Georgia,2020-04-26,221,7674,3.04
Georgia,2020-05-03,252,8352,4.08
Georgia,2020-05-10,276,8938,4.32
Georgia,2020-05-17,292,9514,2.68
Georgia,2020-05-24,302,9811,3.28
Georgia,2020-05-31,306,9998,2.51
Georgia,2020-06-07,316,10360,2.5
Georgia,2020-06-14,327,10731,2.93
Georgia,2020-06-21,332,11013,1.66
Georgia,2020-06-28,337,11362,1.57
Georgia,2020-07-05,345,11771,2.25
Georgia,2020-07-12,350,12084,1.81
Georgia,2020-07-19,355,12380,1.58
Georgia,2020-07-26,364,12685,2.73
Georgia,2020-08-02,370,12950,2.49
Georgia,2020-08-09,377,13344,1.82
Georgia,2020-08-16,382,13686,1.94
Georgia,2020-08-23,390,14036,2.61
Georgia,2020-08-30,397,14385,2.09
Georgia,2020-09-06,403,14648,2.84
Georgia,2020-09-13,406,14943,1.59
Georgia,2020-09-20,412,15267,1.9
Georgia,2020-09-27,416,15494,2.07
Georgia,2020-10-04,427,16224,1.69
Georgia,2020-10-11,451,17352,2.11
Georgia,2020-10-18,470,18660,1.51
Georgia,2020-10-25,511,20367,2.28
Georgia,2020-11-01,548,21629,2.66
Georgia,2020-11-08,586,23144,2.96
Georgia,2020-11-15,618,24246,2.66
Georgia,2020-11-22,636,25473,1.9
Georgia,2020-11-29,673,26879,2.66
Georgia,2020-12-06,696,28334,2.06
Georgia,2020-12-13,736,29719,2.47
Georgia,2020-12-20,768,31566,1.54
Georgia,2020-12-27,812,33279,2.67
Georgia,2021-01-03,824,34578,1.16
Georgia,2021-01-10,835,35659,1.1
Georgia,2021-01-17,850,37026,1.37
Georgia,2021-01-24,879,38408,1.93
Georgia,2021-01-31,900,39674,1.45
Georgia,2021-02-07,907,40326,1.24
Georgia,2021-02-14,913,40963,0.97
Georgia,2021-02-21,923,41776,1.49
Georgia,2021-02-28,934,42521,1.56
Georgia,2021-03-07,938,42994,1.11
Georgia,2021-03-14,944,43529,1.15
Georgia,2021-03-21,951,44057,1.65
Georgia,2021-03-28,953,44394,0.81
Georgia,2021-04-04,957,44809,0.96
Georgia,2021-04-11,961,45245,1.09
Georgia,2021-04-18,964,45719,0.89
Georgia,2021-04-25,970,46226,1.35
Georgia,2021-05-02,973,46637,0.85
Georgia,2021-05-09,976,47051,1.05
Georgia,2021-05-16,987,47567,1.98
Georgia,2021-05-23,993,48086,1.09
Georgia,2021-05-30,1001,48436,1.94
Georgia,2021-06-06,1017,49236,1.98
Georgia,2021-06-13,1024,49808,1.32
Georgia,2021-06-20,1032,50278,1.55
Georgia,2021-06-27,1041,50766,1.75
Georgia,2021-07-04,1055,51493,1.95
Georgia,2021-07-11,1065,52206,1.71
Georgia,2021-07-18,1072,52740,1.66
Georgia,2021-07-25,1080,53321,1.6
Georgia,2021-08-01,1089,53879,1.73
Georgia,2021-08-08,1091,54265,0.81
Georgia,2021-08-15,1098,54970,1.07
Georgia,2021-08-22,1104,55456,1.19
Georgia,2021-08-29,1110,56152,0.91
Georgia,2021-09-05,1116,56615,1.38
Georgia,2021-09-12,1121,57142,1.15
Georgia,2021-09-19,1135,58051,1.99
Georgia,2021-09-26,1145,58944,1.25
Georgia,2021-10-03,1166,59888,1.9
Georgia,2021-10-10,1178,60795,1.23
Georgia,2021-10-17,1188,61573,1.48
Georgia,2021-10-24,1198,62625,1.09
Georgia,2021-10-31,1209,63883,0.92
Georgia,2021-11-07,1215,64754,0.85
Georgia,2021-11-14,1229,65626,1.84
Georgia,2021-11-21,1249,67042,1.5
Georgia,2021-11-28,1267,68237,1.42
Georgia,2021-12-05,1281,69245,1.22
Georgia,2021-12-12,1307,70731,1.87
Georgia,2021-12-19,1325,72107,1.37
Georgia,2021-12-26,1337,73074,1.51
Hawaii,2020-03-01,2,65,4.21
Hawaii,2020-03-08,4,135,2.64
Hawaii,2020-03-15,8,249,3.32
Hawaii,2020-03-22,13,404,3.16
Hawaii,2020-03-29,18,567,3.81
Hawaii,2020-04-05,23,745,3.58
Hawaii,2020-04-12,26,882,2.58
Hawaii,2020-04-19,29,1039,2.5
Hawaii,2020-04-26,32,1162,2.61
Hawaii,2020-05-03,34,1248,3.11
Hawaii,2020-05-10,35,1317,2.5
Hawaii,2020-05-17,37,1395,2.95
Hawaii,2020-05-24,38,1441,4.2
Hawaii,2020-05-31,38,1461,3.15
Hawaii,2020-06-07,38,1512,1.77
Hawaii,2020-06-14,39,1566,2.71
Hawaii,2020-06-21,40,1616,2.09
Hawaii,2020-06-28,40,1663,1.62
Hawaii,2020-07-05,40,1712,1.75
Hawaii,2020-07-12,41,1757,2.93
Hawaii,2020-07-19,41,1794,2.4
Hawaii,2020-07-26,42,1843,2.64
Hawaii,2020-08-02,42,1887,2.26
Hawaii,2020-08-09,43,1941,2.74
Hawaii,2020-08-16,44,1990,2.19
Hawaii,2020-08-23,45,2038,2.59
Hawaii,2020-08-30,45,2075,2.71
Hawaii,2020-09-06,45,2114,2.0
Hawaii,2020-09-13,46,2166,2.55
Hawaii,2020-09-20,47,2211,2.92
Hawaii,2020-09-27,47,2251,1.74
Hawaii,2020-10-04,49,2410,2.08
Hawaii,2020-10-11,52,2595,1.52
Hawaii,2020-10-18,56,2810,2.16
Hawaii,2020-10-25,61,3013,2.73
Hawaii,2020-11-01,64,3260,1.58
Hawaii,2020-11-08,69,3489,2.79
Hawaii,2020-11-15,74,3737,2.33
Hawaii,2020-11-22,78,3905,2.8
Hawaii,2020-11-29,82,4098,1.94
Hawaii,2020-12-06,87,4338,2.7
Hawaii,2020-12-13,93,4568,2.36
Hawaii,2020-12-20,97,4826,1.52
Hawaii,2020-12-27,100,4971,2.32
Hawaii,2021-01-03,102,5137,1.22
Hawaii,2021-01-10,104,5295,1.68
Hawaii,2021-01-17,105,5414,1.74
Hawaii,2021-01-24,107,5555,1.62
Hawaii,2021-01-31,108,5652,1.25
Hawaii,2021-02-07,110,5780,1.61
Hawaii,2021-02-14,111,5866,1.3
Hawaii,2021-02-21,111,5937,1.13
Hawaii,2021-02-28,112,6018,1.98
Hawaii,2021-03-07,112,6076,1.02
Hawaii,2021-03-14,112,6120,1.28
Hawaii,2021-03-21,112,6185,1.31
Hawaii,2021-03-28,112,6239,1.12
Hawaii,2021-04-04,112,6296,1.12
Hawaii,2021-04-11,113,6359,1.96
Hawaii,2021-04-18,113,6402,0.89
Hawaii,2021-04-25,113,6453,0.91
Hawaii,2021-05-02,113,6515,1.58
Hawaii,2021-05-09,113,6556,1.96
Hawaii,2021-05-16,114,6620,1.65
Hawaii,2021-05-23,114,6671,1.13
Hawaii,2021-05-30,115,6741,1.94
Hawaii,2021-06-06,116,6817,1.93
Hawaii,2021-06-13,117,6928,1.04
Hawaii,2021-06-20,118,7024,1.62
Hawaii,2021-06-27,118,7081,1.5
Hawaii,2021-07-04,119,7156,1.95
Hawaii,2021-07-11,119,7246,1.03
Hawaii,2021-07-18,119,7340,0.92
Hawaii,2021-07-25,119,7409,0.91
Hawaii,2021-08-01,120,7500,1.32
Hawaii,2021-08-08,120,7571,1.67
Hawaii,2021-08-15,121,7651,1.54
Hawaii,2021-08-22,121,7718,1.66
Hawaii,2021-08-29,122,7786,1.85
Hawaii,2021-09-05,122,7848,1.1
Hawaii,2021-09-12,122,7928,1.1
Hawaii,2021-09-19,123,8024,1.68
Hawaii,2021-09-26,124,8139,0.9
Hawaii,2021-10-03,126,8272,1.77
Hawaii,2021-10-10,127,8420,1.45
Hawaii,2021-10-17,129,8553,1.69
Hawaii,2021-10-24,130,8685,0.88
Hawaii,2021-10-31,132,8856,1.5
Hawaii,2021-11-07,133,8978,1.24
Hawaii,2021-11-14,135,9139,1.74
Hawaii,2021-11-21,136,9302,1.1
Hawaii,2021-11-28,138,9450,1.33
Hawaii,2021-12-05,139,9648,0.88
Hawaii,2021-12-12,140,9787,1.33
Hawaii,2021-12-19,141,9927,1.4
Hawaii,2021-12-26,143,10085,1.91
Idaho,2020-03-01,3,106,3.32
Idaho,2020-03-08,5,207,2.82
Idaho,2020-03-15,8,313,2.87
Idaho,2020-03-22,16,514,4.13
Idaho,2020-03-29,19,650,3.08
Idaho,2020-04-05,24,806,3.53
Idaho,2020-04-12,29,971,3.21
Idaho,2020-04-19,36,1172,3.12
Idaho,2020-04-26,41,1367,3.15
Idaho,2020-05-03,47,1498,4.38
Idaho,2020-05-10,49,1577,3.29
Idaho,2020-05-17,51,1654,2.89
Idaho,2020-05-24,53,1710,4.18
Idaho,2020-05-31,54,1742,3.38
Idaho,2020-06-07,54,1785,2.51
Idaho,2020-06-14,54,1846,1.84
Idaho,2020-06-21,54,1890,1.5
Idaho,2020-06-28,55,1952,2.27
Idaho,2020-07-05,55,1993,1.53
Idaho,2020-07-12,56,2061,1.86
Idaho,2020-07-19,56,2103,1.83
Idaho,2020-07-26,56,2161,1.87
Idaho,2020-08-02,56,2212,1.85
Idaho,2020-08-09,57,2282,2.42
Idaho,2020-08-16,58,2334,2.14
Idaho,2020-08-23,59,2395,2.55
Idaho,2020-08-30,60,2450,2.12
Idaho,2020-09-06,61,2509,2.3
Idaho,2020-09-13,61,2567,1.68
Idaho,2020-09-20,61,2610,2.54
Idaho,2020-09-27,62,2661,2.84
Idaho,2020-10-04,65,2838,2.13
Idaho,2020-10-11,68,3066,1.6
Idaho,2020-10-18,73,3286,2.44
Idaho,2020-10-25,76,3481,1.51
Idaho,2020-11-01,83,3730,2.75
Idaho,2020-11-08,89,4039,2.23
Idaho,2020-11-15,94,4352,2.18
Idaho,2020-11-22,103,4683,2.82
Idaho,2020-11-29,107,4888,2.08
Idaho,2020-12-06,112,5229,1.81
Idaho,2020-12-13,119,5560,2.08
Idaho,2020-12-20,124,5896,1.6
Idaho,2020-12-27,128,6083,2.06
Idaho,2021-01-03,132,6311,2.0
Idaho,2021-01-10,133,6509,1.06
Idaho,2021-01-17,134,6697,0.88
Idaho,2021-01-24,137,6879,1.67
Idaho,2021-01-31,138,7067,0.81
Idaho,2021-02-07,139,7231,1.38
Idaho,2021-02-14,141,7389,1.73
Idaho,2021-02-21,142,7477,1.72
Idaho,2021-02-28,144,7603,1.7
Idaho,2021-03-07,144,7677,0.97
Idaho,2021-03-14,145,7755,1.69
Idaho,2021-03-21,146,7815,1.87
Idaho,2021-03-28,147,7906,1.71
Idaho,2021-04-04,148,7986,1.87
Idaho,2021-04-11,148,8065,0.99
Idaho,2021-04-18,148,8148,1.13
Idaho,2021-04-25,148,8213,1.09
Idaho,2021-05-02,149,8283,1.89
Idaho,2021-05-09,149,8342,0.89
Idaho,2021-05-16,150,8410,1.79
Idaho,2021-05-23,151,8496,1.13
Idaho,2021-05-30,152,8559,1.93
Idaho,2021-06-06,153,8668,1.12
Idaho,2021-06-13,154,8796,1.06
Idaho,2021-06-20,155,8889,1.59
Idaho,2021-06-27,156,9009,1.71
Idaho,2021-07-04,157,9083,1.64
Idaho,2021-07-11,157,9174,0.84
Idaho,2021-07-18,158,9240,1.86
Idaho,2021-07-25,158,9335,0.85
Idaho,2021-08-01,159,9417,1.88
Idaho,2021-08-08,160,9500,1.88
Idaho,2021-08-15,161,9615,1.81
Idaho,2021-08-22,161,9719,0.88
Idaho,2021-08-29,162,9855,1.19
Idaho,2021-09-05,164,9986,1.83
Idaho,2021-09-12,164,10085,0.85
Idaho,2021-09-19,164,10182,0.83
Idaho,2021-09-26,166,10337,1.48
Idaho,2021-10-03,167,10490,1.08
Idaho,2021-10-10,169,10662,1.55
Idaho,2021-10-17,171,10775,1.8
Idaho,2021-10-24,174,10946,1.55
Idaho,2021-10-31,177,11127,1.5
Idaho,2021-11-07,179,11334,1.33
Idaho,2021-11-14,180,11507,1.07
Idaho,2021-11-21,184,11747,1.91
Idaho,2021-11-28,186,11946,1.05
Idaho,2021-12-05,190,12202,1.58
Idaho,2021-12-12,192,12429,1.51
Idaho,2021-12-19,195,12625,1.61
Idaho,2021-12-26,198,12811,1.93
Illinois,2020-03-01,26,640,3.88
Illinois,2020-03-08,49,1543,3.05
Illinois,2020-03-15,83,2627,3.7
Illinois,2020-03-22,129,3910,3.41
Illinois,2020-03-29,163,5398,2.84
Illinois,2020-04-05,222,6891,3.72
Illinois,2020-04-12,295,8412,4.11
Illinois,2020-04-19,335,9631,3.48
Illinois,2020-04-26,363,10481,3.65
Illinois,2020-05-03,406,11626,3.67
Illinois,2020-05-10,420,12293,2.6
Illinois,2020-05-17,434,12807,2.67
Illinois,2020-05-24,453,13245,4.27
Illinois,2020-05-31,461,13410,4.23
Illinois,2020-06-07,468,13724,2.61
Illinois,2020-06-14,479,14178,3.0
Illinois,2020-06-21,492,14654,2.43
Illinois,2020-06-28,500,15030,2.77
Illinois,2020-07-05,506,15376,1.6
Illinois,2020-07-12,520,15833,2.78
Illinois,2020-07-19,524,16121,2.08
Illinois,2020-07-26,529,16438,1.84
Illinois,2020-08-02,533,16768,1.65
Illinois,2020-08-09,542,17071,2.96
Illinois,2020-08-16,551,17563,2.16
Illinois,2020-08-23,559,18016,1.99
Illinois,2020-08-30,563,18338,1.69
Illinois,2020-09-06,570,18689,2.51
Illinois,2020-09-13,577,19006,2.71
Illinois,2020-09-20,585,19354,2.8
Illinois,2020-09-27,590,19642,2.23
Illinois,2020-10-04,619,20916,2.71
Illinois,2020-10-11,646,22337,2.26
Illinois,2020-10-18,676,23928,1.91
Illinois,2020-10-25,700,25125,2.19
Illinois,2020-11-01,731,27156,1.59
Illinois,2020-11-08,777,28901,2.59
Illinois,2020-11-15,839,30944,2.67
Illinois,2020-11-22,883,32632,2.31
Illinois,2020-11-29,949,35117,2.83
Illinois,2020-12-06,987,36681,2.23
Illinois,2020-12-13,1034,38556,2.22
Illinois,2020-12-20,1079,40232,2.79
Illinois,2020-12-27,1116,41803,2.18
Illinois,2021-01-03,1131,43087,1.04
Illinois,2021-01-10,1150,44331,1.48
Illinois,2021-01-17,1169,45746,1.57
Illinois,2021-01-24,1186,47084,1.25
Illinois,2021-01-31,1197,48001,1.49
Illinois,2021-02-07,1205,48908,1.06
Illinois,2021-02-14,1219,50023,1.14
Illinois,2021-02-21,1232,51090,1.49
Illinois,2021-02-28,1243,51784,1.76
Illinois,2021-03-07,1249,52169,1.47
Illinois,2021-03-14,1255,52772,1.01
Illinois,2021-03-21,1260,53198,1.06
Illinois,2021-03-28,1263,53633,1.12
Illinois,2021-04-04,1274,54259,1.75
Illinois,2021-04-11,1279,54848,0.98
Illinois,2021-04-18,1283,55314,0.91
Illinois,2021-04-25,1287,55955,0.85
Illinois,2021-05-02,1292,56377,1.09
Illinois,2021-05-09,1299,56879,1.36
Illinois,2021-05-16,1304,57285,1.38
Illinois,2021-05-23,1316,57827,2.0
Illinois,2021-05-30,1323,58308,1.79
Illinois,2021-06-06,1328,58917,1.05
Illinois,2021-06-13,1342,59722,1.54
Illinois,2021-06-20,1350,60482,1.4
Illinois,2021-06-27,1357,60999,1.46
Illinois,2021-07-04,1363,61825,0.99
Illinois,2021-07-11,1368,62468,1.08
Illinois,2021-07-18,1375,63203,0.93
Illinois,2021-07-25,1380,63759,1.01
Illinois,2021-08-01,1390,64517,1.27
Illinois,2021-08-08,1397,65023,1.73
Illinois,2021-08-15,1409,65766,1.48
Illinois,2021-08-22,1413,66417,0.88
Illinois,2021-08-29,1426,67292,1.43
Illinois,2021-09-05,1432,67941,1.21
Illinois,2021-09-12,1451,68986,1.6
Illinois,2021-09-19,1463,69733,1.53
Illinois,2021-09-26,1480,70555,1.82
Illinois,2021-10-03,1498,71761,1.69
Illinois,2021-10-10,1512,72662,1.96
Illinois,2021-10-17,1533,73899,1.65
Illinois,2021-10-24,1549,75388,1.17
Illinois,2021-10-31,1559,76287,1.33
Illinois,2021-11-07,1582,77421,1.8
Illinois,2021-11-14,1597,78472,1.25
Illinois,2021-11-21,1604,79455,0.91
Illinois,2021-11-28,1620,80897,0.98
Illinois,2021-12-05,1636,82240,1.4
Illinois,2021-12-12,1660,83618,1.59
Illinois,2021-12-19,1688,85241,1.49
Illinois,2021-12-26,1711,86915,1.71
Indiana,2020-03-01,7,238,2.92
Indiana,2020-03-08,22,654,3.3
Indiana,2020-03-15,48,1310,4.32
Indiana,2020-03-22,65,1984,3.04
Indiana,2020-03-29,81,2515,3.18
Indiana,2020-04-05,105,3327,2.74
Indiana,2020-04-12,125,4009,3.08
Indiana,2020-04-19,144,4565,3.69
Indiana,2020-04-26,156,5018,2.73
Indiana,2020-05-03,176,5619,3.19
Indiana,2020-05-10,196,6043,4.36
Indiana,2020-05-17,209,6340,3.81
Indiana,2020-05-24,213,6517,3.15
Indiana,2020-05-31,217,6643,4.1
Indiana,2020-06-07,220,6855,2.2
Indiana,2020-06-14,223,7117,1.82
Indiana,2020-06-21,227,7332,2.61
Indiana,2020-06-28,231,7554,2.3
Indiana,2020-07-05,234,7717,2.35
Indiana,2020-07-12,242,7974,2.73
Indiana,2020-07-19,246,8148,2.95
Indiana,2020-07-26,248,8332,1.58
Indiana,2020-08-02,252,8559,2.19
Indiana,2020-08-09,256,8776,1.88
Indiana,2020-08-16,261,8962,2.74
Indiana,2020-08-23,264,9162,2.03
Indiana,2020-08-30,268,9402,1.99
Indiana,2020-09-06,271,9554,2.2
Indiana,2020-09-13,275,9799,1.83
Indiana,2020-09-20,281,10040,2.74
Indiana,2020-09-27,285,10238,1.95
Indiana,2020-10-04,300,10739,2.9
Indiana,2020-10-11,311,11470,1.55
Indiana,2020-10-18,324,12210,1.74
Indiana,2020-10-25,351,13295,2.34
Indiana,2020-11-01,363,13963,2.13
Indiana,2020-11-08,394,14974,2.91
Indiana,2020-11-15,409,15707,2.03
Indiana,2020-11-22,438,16655,2.75
Indiana,2020-11-29,458,17740,2.06
Indiana,2020-12-06,473,18514,2.03
Indiana,2020-12-13,495,19616,2.49
Indiana,2020-12-20,508,20523,1.77
Indiana,2020-12-27,524,21632,1.56
Indiana,2021-01-03,537,22334,1.86
Indiana,2021-01-10,547,23020,1.4
Indiana,2021-01-17,558,23981,1.06
Indiana,2021-01-24,575,24846,1.9
Indiana,2021-01-31,584,25513,1.28
Indiana,2021-02-07,592,26077,1.61
Indiana,2021-02-14,600,26639,1.79
Indiana,2021-02-21,608,27168,1.45
Indiana,2021-02-28,613,27549,1.25
Indiana,2021-03-07,617,27779,1.81
Indiana,2021-03-14,620,28052,1.17
Indiana,2021-03-21,621,28294,0.85
Indiana,2021-03-28,625,28485,1.97
Indiana,2021-04-04,628,28739,1.67
Indiana,2021-04-11,634,29038,1.77
Indiana,2021-04-18,638,29293,1.74
Indiana,2021-04-25,641,29644,0.83
Indiana,2021-05-02,645,29941,1.63
Indiana,2021-05-09,648,30283,1.02
Indiana,2021-05-16,650,30509,1.17
Indiana,2021-05-23,652,30766,0.99
Indiana,2021-05-30,657,31024,1.71
Indiana,2021-06-06,660,31361,1.27
Indiana,2021-06-13,664,31661,1.59
Indiana,2021-06-20,666,31980,1.08
Indiana,2021-06-27,673,32436,1.97
Indiana,2021-07-04,679,32741,1.84
Indiana,2021-07-11,681,33075,0.86
Indiana,2021-07-18,684,33433,1.27
Indiana,2021-07-25,687,33789,0.81
Indiana,2021-08-01,689,34089,0.85
Indiana,2021-08-08,695,34413,1.97
Indiana,2021-08-15,699,34720,1.65
Indiana,2021-08-22,704,35179,1.25
